index,conc_GSH
0,14.0
1,30.0
2,0.0
3,0.0
4,4.0
5,15.0
6,200.0
7,0.0
8,22.0
9,0.0
10,2.0
11,7.0
12,200.0
13,16.0
14,0.0
15,9.0
16,6.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,10.0
24,0.0
25,18.0
26,0.0
27,0.0
28,0.0
29,26.0
30,14.0
31,0.0
32,20.0
33,12.0
34,0.0
35,20.0
36,8.0
37,16.0
38,4.0
39,6.0
40,1.0
41,0.0
42,24.0
43,5.0
44,8.0
45,13.0
46,3.0
47,12.0
48,28.0
49,0.0
50,18.0
51,11.0
52,200.0
53,0.0
54,200.0
55,0.0
56,32.0
57,7.0
58,0.0
59,4.0
60,0.0
61,5.0
62,0.0
63,0.0
64,0.0
65,0.0
66,13.0
67,10.0
68,0.0
69,0.0
70,0.0
71,11.0
72,0.0
73,2.0
74,0.0
75,3.0
76,9.0
77,0.0
78,12.0
79,9.0
80,0.0
81,10.0
82,11.0
83,6.0
84,8.0
85,1.0
86,0.0
87,0.0
88,0.0
89,50.0
90,0.0
91,0.0
92,8.0
93,0.0
94,50.0
95,0.0
96,0.0
97,12.0
98,0.0
99,0.0
100,0.0
101,0.0
102,14.0
103,0.0
104,15.0
105,14.0
106,0.0
