0,1,2
1176.150,1,4728964
1178.120,1,4474479
1180.090,1,4411566
1182.059,1,4414810
1184.028,1,4403645
1185.997,1,4399501
1187.965,1,4399827
1189.932,1,4396980
1191.899,1,4398427
1193.866,1,4401447
1195.832,1,4399629
1197.798,1,4401104
1199.763,1,4402373
1201.728,1,4406873
1203.692,1,4404975
1205.656,1,4405479
1207.619,1,4403996
1209.582,1,4404697
1211.545,1,4404950
1213.507,1,4403711
1215.468,1,4404915
1217.429,1,4401212
1219.390,1,4400828
1221.350,1,4401150
1223.310,1,4400213
1225.269,1,4403290
1227.227,1,4400073
1229.186,1,4405263
1231.144,1,4409584
1233.101,1,4413074
1235.058,1,4417446
1237.014,1,4426683
1238.970,1,4440234
1240.926,1,4452611
1242.881,1,4468077
1244.835,1,4483525
1246.789,1,4490136
1248.743,1,4497004
1250.696,1,4495666
1252.649,1,4499350
1254.601,1,4499817
1256.553,1,4497932
1258.504,1,4496513
1260.455,1,4497783
1262.405,1,4494768
1264.355,1,4493742
1266.305,1,4490216
1268.254,1,4487565
1270.202,1,4484195
1272.150,1,4480954
1274.098,1,4481585
1276.045,1,4483724
1277.992,1,4496276
1279.938,1,4512511
1281.884,1,4530508
1283.829,1,4547649
1285.774,1,4564085
1287.718,1,4575921
1289.662,1,4583744
1291.606,1,4580225
1293.549,1,4576430
1295.492,1,4567010
1297.434,1,4556044
1299.375,1,4542937
1301.317,1,4530553
1303.257,1,4518258
1305.198,1,4507769
1307.137,1,4499556
1309.077,1,4489011
1311.016,1,4475841
1312.954,1,4461991
1314.892,1,4446202
1316.830,1,4431229
1318.767,1,4413956
1320.703,1,4400718
1322.640,1,4385304
1324.575,1,4374344
1326.511,1,4361695
1328.445,1,4347992
1330.380,1,4343141
1332.314,1,4333561
1334.247,1,4327382
1336.180,1,4320149
1338.113,1,4316339
1340.045,1,4312676
1341.976,1,4309305
1343.908,1,4304974
1345.838,1,4303200
1347.769,1,4304109
1349.698,1,4300677
1351.628,1,4297607
1353.557,1,4299100
1355.485,1,4296361
1357.413,1,4299430
1359.341,1,4300187
1361.268,1,4303133
1363.194,1,4305201
1365.121,1,4306756
1367.046,1,4311385
1368.972,1,4311059
1370.896,1,4317224
1372.821,1,4319072
1374.745,1,4320662
1376.668,1,4324770
1378.591,1,4327100
1380.514,1,4332321
1382.436,1,4331082
1384.358,1,4333894
1386.279,1,4337818
1388.200,1,4341851
1390.120,1,4344797
1392.040,1,4347767
1393.959,1,4351384
1395.878,1,4353267
1397.797,1,4353286
1399.715,1,4356011
1401.632,1,4354960
1403.550,1,4358407
1405.466,1,4356259
1407.383,1,4355205
1409.298,1,4353583
1411.214,1,4352110
1413.129,1,4353384
1415.043,1,4350299
1416.957,1,4348476
1418.871,1,4349107
1420.784,1,4347217
1422.697,1,4347692
1424.609,1,4348168
1426.521,1,4347836
1428.432,1,4347058
1430.343,1,4347495
1432.253,1,4348001
1434.163,1,4349020
1436.073,1,4347969
1437.982,1,4351272
1439.891,1,4354236
1441.799,1,4364239
1443.707,1,4372767
1445.614,1,4390136
1447.521,1,4407388
1449.427,1,4430810
1451.333,1,4452184
1453.239,1,4471477
1455.144,1,4479305
1457.048,1,4484070
1458.953,1,4483882
1460.856,1,4482320
1462.760,1,4484687
1464.663,1,4489803
1466.565,1,4493827
1468.467,1,4506169
1470.369,1,4524202
1472.270,1,4546231
1474.170,1,4574630
1476.071,1,4603288
1477.970,1,4634511
1479.870,1,4652496
1481.769,1,4638919
1483.667,1,4597537
1485.565,1,4546320
1487.462,1,4502945
1489.360,1,4466442
1491.256,1,4439915
1493.152,1,4419841
1495.048,1,4405950
1496.944,1,4393797
1498.839,1,4388144
1500.733,1,4385293
1502.627,1,4378661
1504.521,1,4381181
1506.414,1,4379942
1508.306,1,4380008
1510.199,1,4382413
1512.090,1,4384349
1513.982,1,4388190
1515.873,1,4388123
1517.763,1,4395056
1519.653,1,4397270
1521.543,1,4401224
1523.432,1,4405694
1525.321,1,4411869
1527.209,1,4415660
1529.097,1,4422370
1530.984,1,4426191
1532.871,1,4434106
1534.758,1,4437690
1536.644,1,4444580
1538.530,1,4448833
1540.415,1,4456143
1542.300,1,4461215
1544.184,1,4467886
1546.068,1,4473805
1547.951,1,4482168
1549.834,1,4490006
1551.717,1,4498277
1553.599,1,4506827
1555.481,1,4519047
1557.362,1,4527312
1559.243,1,4535700
1561.123,1,4544315
1563.003,1,4558068
1564.883,1,4567758
1566.762,1,4579864
1568.641,1,4589340
1570.519,1,4599625
1572.397,1,4606554
1574.274,1,4622782
1576.151,1,4632443
1578.028,1,4646109
1579.904,1,4661719
1581.779,1,4675532
1583.654,1,4694699
1585.529,1,4713638
1587.403,1,4735455
1589.277,1,4753292
1591.151,1,4777997
1593.024,1,4798775
1594.896,1,4818048
1596.769,1,4839529
1598.640,1,4862467
1600.512,1,4886675
1602.382,1,4910584
1604.253,1,4936170
1606.123,1,4962811
1607.992,1,4985605
1609.861,1,5013734
1611.730,1,5041315
1613.598,1,5067128
1615.466,1,5093559
1617.334,1,5123590
1619.201,1,5142562
1621.067,1,5171651
1622.933,1,5195345
1624.799,1,5217825
1626.664,1,5238618
1628.529,1,5256715
1630.393,1,5274871
1632.257,1,5287503
1634.121,1,5296058
1635.984,1,5296823
1637.846,1,5318044
1639.709,1,5325223
1641.570,1,5326784
1643.432,1,5324972
1645.293,1,5323239
1647.153,1,5312751
1649.013,1,5311192
1650.873,1,5299453
1652.732,1,5285052
1654.591,1,5270934
1656.449,1,5256289
1658.307,1,5238337
1660.165,1,5224580
1662.022,1,5202734
1663.878,1,5178589
1665.734,1,5154196
1667.590,1,5134023
1669.446,1,5105651
1671.300,1,5080404
1673.155,1,5054825
1675.009,1,5028106
1676.863,1,4997494
1678.716,1,4974544
1680.569,1,4943255
1682.421,1,4919634
1684.273,1,4893097
1686.124,1,4861717
1687.976,1,4836791
1689.826,1,4805897
1691.676,1,4781196
1693.526,1,4752774
1695.376,1,4725659
1697.225,1,4701777
1699.073,1,4671653
1700.921,1,4650986
1702.769,1,4623371
1704.616,1,4601036
1706.463,1,4579899
1708.309,1,4557642
1710.155,1,4535074
1712.001,1,4510025
1713.846,1,4487589
1715.691,1,4466491
1717.535,1,4442665
1719.379,1,4420423
1721.222,1,4394624
1723.065,1,4374769
1724.908,1,4353829
1726.750,1,4341325
1728.592,1,4319856
1730.433,1,4306523
1732.274,1,4291593
1734.114,1,4278436
1735.954,1,4265404
1737.794,1,4250375
1739.633,1,4235603
1741.472,1,4218982
1743.310,1,4207887
1745.148,1,4193266
1746.986,1,4182797
1748.823,1,4171361
1750.659,1,4160677
1752.496,1,4151878
1754.332,1,4141165
1756.167,1,4133271
1758.002,1,4124363
1759.836,1,4115750
1761.671,1,4108363
1763.504,1,4102934
1765.338,1,4093157
1767.171,1,4084561
1769.003,1,4075244
1770.835,1,4069877
1772.667,1,4063904
1774.498,1,4057304
1776.329,1,4049211
1778.159,1,4045121
1779.989,1,4036009
1781.818,1,4027364
1783.648,1,4025852
1785.476,1,4021786
1787.304,1,4015078
1789.132,1,4012647
1790.960,1,4006467
1792.787,1,4004360
1794.613,1,4000318
1796.440,1,3992889
1798.265,1,3990225
1800.091,1,3986122
1801.916,1,3983628
1803.740,1,3980981
1805.564,1,3976254
1807.388,1,3976095
1809.211,1,3972791
